current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class,RowID
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT175,RUNP,MT        ,6,5,MT9617OAAT/ACZBCB3434-H,5889,None,B,9755359
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT176,RUN,MT        ,6,6,MT9660AAAT/DBZACC3434-H,5873,None,B,9755360
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT177,DOWN,MT2       ,6,0,NC98529BG/AAACU,nan,None,B,9755361
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT178,IDLE_L,RT2       ,6,0,SV68811UMFG/CBBAACUN,nan,None,B,9755362
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT179,RUN,MT2       ,6,6,NT72335PG-VB/AAA,nan,None,B,9755363
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT18,RUN,MT        ,6,6,MT9685IAAT/ACZAHHD050505-P05-H,5871,None,B,9755364
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT180,RUN,RT2       ,6,6,MT6878V/ZAHJB-H,6878,None,B,9755365
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT181,RUN,MT        ,6,6,MT6878V/ZAHJB-H,6878,None,B,9755366
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT182,RUN,MT        ,6,6,MT6878V/ZAHJB-H,6878,None,B,9755367
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT183,RUN,MT        ,6,6,MT6878V/ZAHJB-H,6878,None,B,9755368
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT184,RUN,MT        ,6,6,MT6878V/ZAHJB-H,6878,None,B,9755369
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT185,ENG_L,EQC       ,6,0,None,nan,None,B,9755370
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT186,SETUP,MT        ,6,0,型號 6855,nan,黃紀群,B,9755371
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT187,RUN,MT        ,6,6,MT9633GAAT/ABZACC-H,5873,None,B,9755372
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT188,RUN,MT        ,6,6,MT9255BADN/BAZBXDA2020-L,5862,None,B,9755373
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT189,ENG_L,MT        ,6,0,MT9603EAAT/ADZACC3434-H,5873,None,B,9755374
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT19,RUNP,MT        ,6,5,MT9011CSAT/BBZACC3434-H,5867,None,B,9755375
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT190,RUN,MT        ,6,6,MT9603EDAT/HCZACC3434-H,5873,None,B,9755376
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT191,RUN,MT        ,6,6,MT9216AAAT/FBZACC2020-H,5867,None,B,9755377
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT192,REPAIR,RT1       ,6,0,MT5838AAAQ/FCZAHIE-CSY-H,5897,鍾智弦,B,9755378
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT193,IDLE_L,MT2       ,6,0,MT9687BSMT/BCZAHHC3434-CSY-H,5876,None,B,9755379
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT194,RUN,EQC       ,6,6,MT9679BAAT/DFZAHIA-H,5879,None,B,9755380
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,ARHT,QAMT195,IDLE_L,MT        ,6,0,AN8855RN/ACB-PCU-L,nan,None,B,9755381
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT196,RUN,EQC       ,6,6,MT9270DABJ/ABZBCA343434-MA2-H,5889,None,B,9755382
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT197,RUN,MT        ,6,6,MT9010PBAT/BBZBHHA202020-H,5870,None,B,9755383
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT198,SETUPW_L,EQC2      ,6,0,MT9603EAAT/BAZACC3434-H,5873,None,B,9755384
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT199,RUN,MT        ,6,6,MT9687BSMT/BCZAHHC3434-CSY-H,5876,None,B,9755385
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVO,QAMT20,RUN,MT        ,6,6,NUC1262YE4AE,nan,None,B,9755386
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,HIM,QAMT200,IDLE_L,MT        ,6,0,F8876N00DDDG000,nan,None,B,9755387
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT201,REPAIR,MT        ,6,0,NT98568MBG-D/AAADACU,nan,謝文堂,B,9755388
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT202,RUN,MT2       ,6,6,NT72327PG/AAA,nan,None,B,9755389
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT203,RUN,MT        ,6,6,NT72690TBG-8C4K/WBBAACU,nan,None,B,9755390
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT204,RUN,RT1       ,6,6,NT72676BG-WA/BABCU,nan,None,B,9755391
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT205,DOWN,MT        ,6,0,NT72690TBG-8C2K/WBBAACUFQ,nan,None,B,9755392
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT206,IDLE_L,EQC2      ,6,0,NT72326PG/AAA,nan,None,B,9755393
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT207,IDLE_L,EQC2      ,6,0,NT72326PG/AAA,nan,None,B,9755394
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT208,RUN,MT2       ,6,6,MT9270DABJ/ABZBCA343434-MA2-H,5889,None,B,9755395
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT209,RUN,MT2       ,6,6,MT9270DACJ/AFZBCA343434-MA2-H,5889,None,B,9755396
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT21,RUN,MT        ,6,6,MT9602EAAT/LBZAHHD202020-H,5870,None,B,9755397
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT210,RUN,RT1       ,6,6,MT5583GAAT/ABZAHIA2020-H,5870,None,B,9755398
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,ARHT,QAMT211,IDLE_L,RT2       ,6,0,MT5711CNAT/IAACB20-H,5711,None,B,9755399
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,ARHT,QAMT212,RUN,MT        ,6,6,MT5251AABJ/NAZAHHD-H,5751,None,B,9755400
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT213,RUN,MT        ,6,6,MT9701KGSU/AGAHHB05-L,9701,None,B,9755401
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVT,QAMT214,RUN,MT2       ,6,6,NT72335PG-D1/AAA,nan,None,B,9755402
